#,Series,Episode,Name,Original Air Date,Watched,Drift Audit
1,Arrow,S01E01,Pilot,"October 10, 2012",TRUE,
2,Arrow,S01E02,Honor Thy Father,"October 17, 2012",TRUE,
3,Arrow,S01E03,Lone Gunmen,"October 24, 2012",TRUE,
4,Arrow,S01E04,An Innocent Man,"October 31, 2012",TRUE,
5,Arrow,S01E05,Damaged,"November 07, 2012",TRUE,
6,Arrow,S01E06,Legacies,"November 14, 2012",TRUE,
7,Arrow,S01E07,Muse of Fire,"November 28, 2012",TRUE,
8,Arrow,S01E08,Vendetta,"December 05, 2012",TRUE,
9,Arrow,S01E09,Year's End,"December 12, 2012",TRUE,
10,Arrow,S01E10,Burned,"January 16, 2013",TRUE,
11,Arrow,S01E11,Trust but Verify,"January 23, 2013",TRUE,
12,Arrow,S01E12,Vertigo,"January 30, 2013",TRUE,
13,Arrow,S01E13,Betrayal,"February 06, 2013",TRUE,
14,Arrow,S01E14,The Odyssey,"February 13, 2013",TRUE,
15,Arrow,S01E15,Dodger,"February 20, 2013",TRUE,
16,Arrow,S01E16,Dead to Rights,"February 27, 2013",TRUE,
17,Arrow,S01E17,The Huntress Returns,"March 20, 2013",TRUE,
18,Arrow,S01E18,Salvation,"March 27, 2013",TRUE,
19,Arrow,S01E19,Unfinished Business,"April 03, 2013",TRUE,
20,Arrow,S01E20,Home Invasion,"April 24, 2013",TRUE,
21,Arrow,S01E21,The Undertaking,"May 01, 2013",TRUE,
22,Arrow,S01E22,Darkness on the Edge of Town,"May 08, 2013",TRUE,
23,Arrow,S01E23,Sacrifice,"May 15, 2013",TRUE,
24,Arrow,S02E01,City of Heroes,"October 09, 2013",TRUE,
25,Arrow,S02E02,Identity,"October 16, 2013",TRUE,
26,Arrow,S02E03,Broken Dolls,"October 23, 2013",TRUE,
27,Arrow,S02E04,Crucible,"October 30, 2013",TRUE,
28,Arrow,S02E05,League of Assassins,"November 06, 2013",TRUE,
29,Arrow,S02E06,Keep Your Enemies Closer,"November 13, 2013",TRUE,
30,Arrow,S02E07,State v. Queen,"November 20, 2013",TRUE,
31,Arrow,S02E08,The Scientist,"December 04, 2013",TRUE,
32,Arrow,S02E09,Three Ghosts,"December 11, 2013",TRUE,
33,Arrow,S02E10,Blast Radius,"January 15, 2014",TRUE,
34,Arrow,S02E11,Blind Spot,"January 22, 2014",TRUE,
35,Arrow,S02E12,Tremors,"January 29, 2014",TRUE,
36,Arrow,S02E13,Heir to the Demon,"February 05, 2014",TRUE,
37,Arrow,S02E14,Time of Death,"February 26, 2014",TRUE,
38,Arrow,S02E15,The Promise,"March 05, 2014",TRUE,
39,Arrow,S02E16,Suicide Squad,"March 19, 2014",TRUE,
40,Arrow,S02E17,Birds of Prey,"March 26, 2014",TRUE,
41,Arrow,S02E18,Deathstroke,"April 02, 2014",TRUE,
42,Arrow,S02E19,The Man Under the Hood,"April 16, 2014",TRUE,
43,Arrow,S02E20,Seeing Red,"April 23, 2014",TRUE,
44,Arrow,S02E21,City of Blood,"April 30, 2014",TRUE,
45,Arrow,S02E22,Streets of Fire,"May 07, 2014",TRUE,
46,Arrow,S02E23,Unthinkable,"May 14, 2014",TRUE,
47,The Flash,S01E01,Pilot,"October 07, 2014",TRUE,
48,Arrow,S03E01,The Calm,"October 08, 2014",TRUE,
49,The Flash,S01E02,Fastest Man Alive,"October 14, 2014",TRUE,
50,Arrow,S03E02,Sara,"October 15, 2014",TRUE,
51,The Flash,S01E03,Things You Can't Outrun,"October 21, 2014",TRUE,
52,Arrow,S03E03,Corto Maltese,"October 22, 2014",TRUE,
53,Constantine,S01E01,Non Est Asylum,"October 24, 2014",TRUE,
54,The Flash,S01E04,Going Rogue,"October 28, 2014",TRUE,
55,Arrow,S03E04,The Magician,"October 29, 2014",TRUE,
56,Constantine,S01E02,The Darkness Beneath,"October 31, 2014",TRUE,
57,Arrow,S03E05,The Secret Origin of Felicity Smoak,"November 05, 2014",TRUE,
58,Constantine,S01E03,The Devil's Vinyl,"November 07, 2014",TRUE,
59,The Flash,S01E05,Plastique,"November 11, 2014",TRUE,
60,Arrow,S03E06,Guilty,"November 12, 2014",TRUE,
