Series,,Episode,Title,Star date,Air date,Watched?,Dridt Audit
,TOS,1-1,The Man Trap,1513.1,9/8/1966,TRUE,
,TOS,1-2,Charlie X,1533.6,9/15/1966,TRUE,
,TOS,1-3,Where No Man Has Gone Before,1312.4,9/22/1966,TRUE,
,TOS,1-4,The Naked Time,1704.2,9/29/1966,TRUE,
,TOS,1-5,The Enemy Within,1672.1,10/6/1966,TRUE,
,TOS,1-6,Mudd's Women,1329.8,10/13/1966,TRUE,
,TOS,1-7,What Are Little Girls Made Of?,2712.4,10/20/1966,TRUE,
,TOS,1-8,Miri,2713.5,10/27/1966,TRUE,
,TOS,1-9,Dagger of the Mind,2715.1,11/3/1966,TRUE,
,TOS,1-10,The Corbomite Maneuver,1512.2,11/10/1966,TRUE,
,TOS,1-11,"The Menagerie, Part I",3012.4,11/17/1966,TRUE,
,TOS,1-12,"The Menagerie, Part II",3013.1,11/24/1966,TRUE,
,TOS,1-13,The Conscience of the King,2817.6,12/8/1966,TRUE,
,TOS,1-14,Balance of Terror,1709.2,12/15/1966,TRUE,
,TOS,1-15,Shore Leave,3025.3,12/29/1966,TRUE,
,TOS,1-16,The Galileo Seven,2821.5,1/5/1967,TRUE,
,TOS,1-17,The Squire of Gothos,2124.5,1/12/1967,TRUE,
,TOS,1-18,Arena,3045.6,1/19/1967,TRUE,
,TOS,1-19,Tomorrow Is Yesterday,3113.2,1/26/1967,TRUE,
,TOS,1-20,Court Martial,2947.3,2/2/1967,TRUE,
,TOS,1-21,The Return of the Archons,3156.2,2/9/1967,TRUE,
,TOS,1-22,Space Seed,3141.9,2/16/1967,FALSE,
,TOS,1-23,A Taste of Armageddon,3192.1,2/23/1967,FALSE,
,TOS,1-24,This Side of Paradise,3417.3,3/2/1967,FALSE,
,TOS,1-25,The Devil in the Dark,3196.1,3/9/1967,FALSE,
,TOS,1-26,Errand of Mercy,3198.4,3/23/1967,FALSE,
,TOS,1-27,The Alternative Factor,3087.6,3/30/1967,FALSE,
,TOS,1-28,The City on the Edge of Forever,Unknown,4/6/1967,FALSE,
,TOS,1-29,Operation: Annihilate!,3287.2,4/13/1967,FALSE,
,TOS,2-30,Amok Time,3372.7,9/15/1967,FALSE,
,TOS,2-31,Who Mourns for Adonais?,3468.1,9/22/1967,FALSE,
,TOS,2-32,The Changeling,3541.9,9/29/1967,FALSE,
,TOS,2-33,"Mirror, Mirror",Unknown,10/6/1967,FALSE,
,TOS,2-34,The Apple,3715.3,10/13/1967,FALSE,
,TOS,2-35,The Doomsday Machine,4202.9,10/20/1967,FALSE,
,TOS,2-36,Catspaw,3018.2,10/27/1967,FALSE,
,TOS,2-37,"I, Mudd",4513.3,11/3/1967,FALSE,
,TOS,2-38,Metamorphosis,3219.4,11/10/1967,FALSE,
,TOS,2-39,Journey to Babel,3842.3,11/17/1967,FALSE,
,TOS,2-40,Friday's Child,3497.2,12/1/1967,FALSE,
,TOS,2-41,The Deadly Years,3478.2,12/8/1967,FALSE,
,TOS,2-42,Obsession,3619.2,12/15/1967,FALSE,
,TOS,2-43,Wolf in the Fold,3614.9,12/22/1967,FALSE,
,TOS,2-44,The Trouble With Tribbles,4523.3,12/29/1967,FALSE,
,TOS,2-45,The Gamesters of Triskelion,3211.7,1/5/1968,FALSE,
,TOS,2-46,A Piece of the Action,4598,1/12/1968,FALSE,
,TOS,2-47,The Immunity Syndrome,4307.1,1/19/1968,FALSE,
,TOS,2-48,A Private Little War,4211.4,2/2/1968,FALSE,
,TOS,2-49,Return to Tomorrow,4768.3,2/9/1968,FALSE,
,TOS,2-50,Patterns of Force,2534,2/16/1968,FALSE,
,TOS,2-51,By Any Other Name,4657.5,2/23/1968,FALSE,
,TOS,2-52,The Omega Glory,Unknown,3/1/1968,FALSE,
,TOS,2-53,The Ultimate Computer,4729.4,3/8/1968,FALSE,
,TOS,2-54,Bread and Circuses,4040.7,3/15/1968,FALSE,
,TOS,2-55,Assignment: Earth,Unknown,3/29/1968,FALSE,
,TOS,3-56,Spock's Brain,5431.4,9/20/1968,FALSE,
,TOS,3-57,The Enterprise Incident,5027.3,9/27/1968,FALSE,
,TOS,3-58,The Paradise Syndrome,4842.6,10/4/1968,FALSE,
,TOS,3-59,And the Children Shall Lead,5029.5,10/11/1968,FALSE,
,TOS,3-60,Is There in Truth No Beauty?,5630.7,10/18/1968,FALSE,
,TOS,3-61,Spectre of the Gun,4385.3,10/25/1968,FALSE,
,TOS,3-62,Day of the Dove,Unknown,11/1/1968,FALSE,
,TOS,3-63,For the World Is Hollow and I Have Touched the Sky,5476.3,11/8/1968,FALSE,
,TOS,3-64,The Tholian Web,5693.2,11/15/1968,FALSE,
,TOS,3-65,Plato's Stepchildren,5784.2,11/22/1968,FALSE,
,TOS,3-66,Wink of an Eye,5710.5,11/29/1968,FALSE,
,TOS,3-67,The Empath,5121.5,12/6/1968,FALSE,
,TOS,3-68,Elaan of Troyius,4372.5,12/20/1968,FALSE,
,TOS,3-69,Whom Gods Destroy,5718.3,1/3/1969,FALSE,
,TOS,3-70,Let That Be Your Last Battlefield,5730.2,1/10/1969,FALSE,
,TOS,3-71,The Mark of Gideon,5423.4,1/17/1969,FALSE,
,TOS,3-72,That Which Survives,Unknown,1/24/1969,FALSE,
,TOS,3-73,The Lights of Zetar,5725.3,1/31/1969,FALSE,
,TOS,3-74,Requiem for Methuselah,5843.7,2/14/1969,FALSE,
,TOS,3-75,The Way to Eden,5832.3,2/21/1969,FALSE,
,TOS,3-76,The Cloud Minders,5818.4,2/28/1969,FALSE,
,TOS,3-77,The Savage Curtain,5906.4,3/7/1969,FALSE,
,TOS,3-78,All Our Yesterdays,5943.7,3/14/1969,FALSE,
,TOS,3-79,Turnabout Intruder,5928.5,6/3/1969,FALSE,
,TAS,1-1,Beyond the Farthest Star,5521.3,9/8/1973,FALSE,
,TAS,1-2,Yesteryear,5373.4,9/15/1973,FALSE,
,TAS,1-3,One of Our Planets is Missing,5371.3,9/22/1973,FALSE,
,TAS,1-4,The Lorelei Signal,5483.7,9/29/1973,FALSE,
,TAS,1-5,"More Tribbles, More Troubles",5392.4,10/6/1973,FALSE,
,TAS,1-6,The Survivor,5143.3,10/13/1973,FALSE,
,TAS,1-7,The Infinite Vulcan,5554.4,10/20/1973,FALSE,
,TAS,1-8,The Magicks of Megas-tu,1254.4,10/27/1973,FALSE,
,TAS,1-9,Once Upon a Planet,5591.2,11/3/1973,FALSE,
,TAS,1-10,Mudd's Passion,4978.5,11/10/1973,FALSE,
,TAS,1-11,The Terratin Incident,5577.3,11/17/1973,FALSE,
,TAS,1-12,The Time Trap,5267.2,11/24/1973,FALSE,
,TAS,1-13,The Ambergris Element,5499.9,12/1/1973,FALSE,
,TAS,1-14,The Slaver Weapon,4187.3,12/15/1973,FALSE,
,TAS,1-15,The Eye of the Beholder,5501.2,1/5/1974,FALSE,
,TAS,1-16,The Jihad,5683.1,1/12/1974,FALSE,
,TAS,2-17,The Pirates of Orion,6334.1,9/7/1974,FALSE,
,TAS,2-18,Bem,7403.6,9/17/1974,FALSE,
,TAS,2-19,The Practical Joker,3183.3,9/21/1974,FALSE,
,TAS,2-20,Albatross,5275.6,9/28/1974,FALSE,
,TAS,2-21,How Sharper Than a Serpent's Tooth,6063.4,10/5/1974,FALSE,
,TAS,2-22,The Counter-Clock Incident,6770.3,10/12/1974,FALSE,
,Movie,,The Motion Picture,Unknown,12/7/1979,TRUE,
,Movie,,The Wrath of Khan,Unknown,6/4/1982,TRUE,
,Movie,,The Search for Spock,Unknown,6/1/1984,TRUE,
,Movie,,The Voyage Home,Unknown,11/26/1986,TRUE,
,TNG,1-1,Encounter at Farpoint,41153.7,9/28/1987,TRUE,
,TNG,1-2,Encounter at Farpoint,41153.7,9/28/1987,TRUE,
